imei,marca
867030075910231     ,ITAL
867030075901792     ,ITAL
861888081842177     ,ITAL
861888081979250     ,ITAL
861888081833010     ,ITAL
861888081842953     ,ITAL
861888081816247     ,ITAL
861888081842508     ,ITAL
861888081842169     ,ITAL
867030075901628     ,ITAL
867030075910215     ,ITAL
867030075903863     ,ITAL
861888081879336     ,ITAL
867030075901438     ,ITAL
861888081842227     ,ITAL
867030075906635     ,ITAL
861888081894376     ,ITAL
861888081807386     ,ITAL
861888081816379     ,ITAL
861888081879435     ,ITAL
867030075943380     ,ITAL
861888081842235     ,ITAL
861888081879641     ,ITAL
867030075901909     ,ITAL
861888081835874     ,ITAL
867030075943810     ,ITAL
867030075909886     ,ITAL
867030075886126     ,ITAL
861888081857134     ,ITAL
867030075906486     ,ITAL
861888081858439     ,ITAL
861888081833903     ,ITAL
867030075886381     ,ITAL
861888081842458     ,ITAL
861888081816304     ,ITAL
861888081812980     ,ITAL
861888081859502     ,ITAL
861888081932796     ,ITAL
861888081835924     ,ITAL
861888081797231     ,ITAL
861888081784627     ,ITAL
861888081784858     ,ITAL
861888081835452     ,ITAL
861888081935369     ,ITAL
861888081814895     ,ITAL
861888081784668     ,ITAL
861888081784809     ,ITAL
861888081835866     ,ITAL
861888081836047     ,ITAL
861888081912244     ,ITAL
861888081788255     ,ITAL
861888081802429     ,ITAL
861888081842342     ,ITAL
861888081904662     ,ITAL
861888081909539     ,ITAL
867030075943471     ,ITAL
867030075909373     ,ITAL
867030075909415     ,ITAL
861888081910560     ,ITAL
861888081881217     ,ITAL
867030075942903     ,ITAL
861888081896967     ,ITAL
861888081861979     ,ITAL
867030075909944     ,ITAL
867030075901404     ,ITAL
861888081902328     ,ITAL
867030075943489     ,ITAL
867030075902097     ,ITAL
861888081782332     ,ITAL
867030075906403     ,ITAL
861888081807360     ,ITAL
867030075910132     ,ITAL
861888081861938     ,ITAL
861888081797678     ,ITAL
861888081862084     ,ITAL
867030075909423     ,ITAL
861888081835932     ,ITAL
867030075906619     ,ITAL
861888081832582     ,ITAL
861888081842961     ,ITAL
